id,content,sentiment
30,আমার আইফোনের জন্য অ্যাপস ডাউনলোড করছি! এত মজা :-) আক্ষরিক অর্থেই যেকোন কিছুর জন্য একটি অ্যাপ রয়েছে।,positive
31,"সুসংবাদ, এইমাত্র ভিসা অফিস থেকে কল এসেছে, সব ঠিক আছে.....কি স্বস্তি!",positive
32,আমি আজ আনন্দিত,positive
33,শীঘ্রই আমার বাবার সাথে স্টার ট্রেক দেখতে যাচ্ছি।,positive
34,ফিলিপ আজ GoogleIO-তে থাকায় আমি খুশি,positive
35,জাদুঘরে রাত দেখছি। দারুন,positive
36,আমি যাদুঘরে রাত পছন্দ করতাম,positive
37,সবেমাত্র সিনেমা থেকে ফিরে এসেছি। রাহুলের্ সাথে মিউজিয়ামে নতুন রাত দেখতে গিয়েছিলাম। এটা ভালো ছিল,positive
38,দারুণ দাদা...,positive
39,দারুন দেখতে রঙটাও খুব সুন্দর।,positive
40,অসাধারণ! মনে হচ্ছে যেনো একটু হেঁটে নিই,positive
41,প্রকৃতির অপার মহিমা ।,positive
42,অসাধারণ সব photography,positive
43,"এতো সুন্দর ছবি, মনে হলো এর চেয়ে ভালো আর কিছু নেই। ছবিটা রেখে দিলাম!",positive
44,"অপার শান্তির জায়গা , অসাধারণ।",positive
45,অদ্ভুত সুন্দর!,positive
46,অসাধারণ মনোমুগ্ধকর ছবি ও লেখা,positive
47,কি সুন্দর ফুল !,positive
48,"দারুন দৃশ্য, দুর্দান্ত ছবি।",positive
49,কি সুন্দর লাগলো ছবিটি দেখে ।,positive
50,অপুর্ব দৃশ্য! এ তো দেখছি ড্যাফোডিলের সমুদ্র।,positive
51,অশেষ ধন্যবাদ ভাই।,positive
52,স্বাধীনতা দিবসে আমার সকল বন্ধুদের জানাই অভিনন্দন ও শুভেচ্ছা,positive
53,জন্মদিনের বিলম্বিত শুভেচ্ছা,positive
54,আজ হাসি হাসি চেহারা হয়েছে,positive
55,খুব সুন্দর লাগছে । কি করে বযস কমছে রে? সেই বড মোটা কেটেছিল জন্য আরো বযস কম লাগে। এভাবেই খুশী খুশী থাক।,positive
56,বাহ! খুব ভালো লাগছে!,positive
57,আরেহ বাহ্ দারুণ ছবি,positive
58,শ্বেত শুভ্র বসনে আনন্দে মাতিছ পানে।,positive
59,কি সুন্দর বর্ণনা,positive
60,বাহ দারুণ শুরুয়াত।,positive
61,"বিমান দা, যত ভাল জায়গা তত ভালই বর্ণনা",positive
62,দারুণ ভালো হয়েছে সেলফিটা৷,positive
63,খুব ই ভালো এটাই রাখো,positive
64,ভালো লাগছে ভালো থাকুন।,positive
65,ভরসা রাখ ভগবান তোমাকে তারা তারি ভালো করে দেবেন,positive
66,"তোকে যে আবার ফিরে পেয়েছি , ঈশ্বর কে অনেক অনেক ধন্যবাদ জানাই",positive
67,বিপদ কেটে গেছে,positive
68,তাড়াতাড়ি সুস্থ হয়ে ওঠ,positive
69,তুমি ও মামা আমার প্রনাম নিও,positive
70,শুভ জন্ম অষ্টমী,positive
71,ভারী সুন্দর ছবি,positive
72,এতো মর্ত্যের পারিজাত,positive
73,দারুন সুন্দর ছবি গুলো ।মন ভালো করার ছবি,positive
74,অসাধারণ উপস্থাপন ও পরিবেশন,positive
75,ধন্যবাদ আপনাদের প্রত্যেক কে,positive
76,খুব সুন্দর সত্যিই এটা সোনার ফসল,positive
77,অপূর্ব মাধুরী,positive
78,হাঁ সত্যিই খুব সুন্দর। চোখজুড়ানো,positive
79,ফটোগ্রাফারের মুন্সিয়ানা উত্তরণের আলোয় প্রকৃতি সমুজ্জ্বল,positive
80,প্রচেষ্টাকে সাধুবাদ,positive
81,ওরে বাবা ছবিটা দারুণ,positive
82,দুরন্ত শৈশব,positive
83,রিয়ে যাওয়া কত প্রজাতির পাখি বেশ সুন্দর,positive
84,অপূর্ব ভাবনা প্রকাশ,positive
85,অসাধারণ চিত্রমালা,positive
86,স্নিগ্ধ পরশ,positive
87,অসম্ভব ভালো,positive
88,মা তুজে সালাম,positive
89,অসামান্য ছবি,positive
90,"অবাক হয়ে ভাবি, প্রকৃতির কতো কিছু যে এ জীবনে দেখিনি, কে জানে",positive
91,অনেক অনেক ভালোবাসা,positive
92,মনোরম সুন্দর দৃশ্য,positive
93,অপরূপ শোভা,positive
94,অতুলনীয় কৃষ্ণচূড়া ফুল দেখে হৃদয় ভরে গেলো,positive
95,সৃষ্টিশীল মনের প্রতিফলন ছবির মাধ্যে দিয়ে,positive
96,শুভ জন্মদিনের অনেক শুভেচ্ছা রইলো ভালো থাক সুস্থ থাক,positive
97,শুভ বিবাহবার্ষিকী দুজনেই খুব ভালো থাকো,positive
98,বাহ্ খুব সুন্দর একেছে,positive
99,ইচ্ছাগুলোকে স্বাধীনতা দাও,positive
100,জীবন অনেক মজাদার জিনিস যদি বাঁচার মতো বাঁচতে পারি।,positive
101,অসাধারণ কথাগুলো!,positive
102,এসো প্রাণের ভাষায় কথা বলি প্রান খুলে!,positive
103,শুভ মাতৃ দিবস,positive
104,মা মানেই আমাদের কাছে ভালোবাসা,positive
105,ভালো থাকবেন,positive
106,সত্যি লিখেছেন।ভালো থাকবেন।,positive
107,এই পেজ টা খোলামেলা মুক্ত বাতাস এর জায়গা,positive
108,বিগত বছরে অনেক শিক্ষার্থী  উপকৃত হয়েছে,positive
109,এটা খুব ভাল ছিল,positive
110,আমি আমার যথাসাধ্য চেষ্টা করব,positive
111,আমি এখন খুব খুশি,positive
112,আমি এর জন্য খুব কৃতজ্ঞ,positive
113,আমরা একসাথে হাসছিলাম,positive
114,আমি ভ্রমণ করতে ভালোবাসি,positive
115,আমি সঙ্গীত ভালোবাসি,positive
116,মুভিটি খুব সুন্দর,positive
117,আমি রান্না করতে ভালবাসে,positive
118,এই বৃষ্টি আশ্চর্যজনকভাবে সুন্দর,positive
119,বাতাসটা খুবই ভালো লাগছে,positive
120,এটা স্বর্গের মতো অভিজ্ঞতা,positive
121,বাড়ি হল যেখানে হৃদয় সুখী,positive
122,এই লেখাটি খুব সুন্দর,positive
123,এটা খুব উৎসাহব্যঞ্জক,positive
124,আমি তো হাসি থামাতে পারছি না,positive
125,আপনি একটি চমৎকার কাজ করেছেন,positive
126,এটা খুব ভাল,positive
127,অরিজিৎ সিং-এর এই গানটি খুব ভাল,positive
128,টিভি বিজ্ঞাপনে #Guthka সমর্থন করার জন্য ৩ পদ্মশ্রী রিসিভারকে ট্যাগ করা আইএএস অফিসারের দুর্দান্ত কাজ,positive
129,আইএএস অফিসারের খুব ভাল post,positive
130,শুভকামনা বন্ধু,positive
131,ভাল কিন্তু যদি এটি ভাঙ্গা না হয় তবে এটি আরও ভাল,positive
132,কবিতাটি এত সুন্দর,positive
133,উনি সবসময় মাটির মানুষ,positive
134,জনগণের উন্নয়ন হোক,positive
135,আজকের দিনটি হাসির জন্য একটি সুন্দর দিন।,positive
136,সূর্যরশ্মি বিস্ময়কর,positive
137,একেবারে অত্যাশ্চর্য আলো প্রভাব,positive
138,"যেখানেই আলো আছে, সেখানেই আশা আছে",positive
139,আমি এটা নিয়ে খুব আশাবাদী,positive
140,তিনি সুন্দরভাবে এটির জন্য অপেক্ষা করছিলেন,positive
145,এই গুড ফ্রাইডে-র জন্য এটা সুন্দর ছবি,positive
146,"খুব মহিমান্বিত, এটি ঈশ্বরের সুন্দর সৃষ্টিগুলিকে প্রকাশ করে, বিস্ময়কর",positive
147,ঈশ্বর আমাদের জন্য সুন্দর ছবি আঁকেন,positive
148,আমি এই ছবিটি সংরক্ষণ করছি...! এটা একেবারে আশ্চর্যজনক ,positive
149,এই ছবির জন্য আমার যে ভালবাসা এবং আবেগ রয়েছে তা আমি প্রকাশ করতে পারছি না,positive
150,দিনগুলো সুন্দরভাবে কাটানো হয়েছে,positive
151,"হে ঈশ্বর, আমরা সবাই কত সুন্দরভাবে আশীর্বাদপ্রাপ্ত",positive
152,একেবারে অত্যাশ্চর্য,positive
153,কী অসাধারণ একটা ছবি,positive
154,একেবারে চমত্কার,positive
155,ওটা এত সুন্দর,positive
156,আমি ওখানে থাকতে পছন্দ করব,positive
157, আমি এই জায়গাটি ভালবাসি,positive
158,পরিবেশটা খুবই জাদুকরী।,positive
159,"আমার প্রিয় রাইড সম্পূর্ণ অসাধারণ",positive
160,আমি স্পেনকে ভালোবাসি,positive
161,এমনই এক অস্বাভাবিক ফুল। এত সুন্দর রং।,positive
162,অসাধারণ সুন্দর রং,positive
163,এটি একটি অনন্য গোলাপ। একটি সুন্দর বৈচিত্র্যময় প্যাটার্নে লাল এবং নীল পাপড়ি,positive
164,অন্যকে উৎসাহিত করুন,positive
165,ভালোবাসা এবং সহানুভূতি পৃথিবীতে প্রাধান্য পায়,positive
166,ভালোবাসার সাথে আপনার বিশেষ দিনটি উপভোগ করুন,positive
167,আমি প্রতিদিন তোমার জন্য প্রার্থনা করি,positive
168,আমি সেদিন খুব ধন্য ছিলাম,positive
169,এই জন্য আপনাকে ধন্যবাদ,positive
170,অবশ্যই আমি এটা ভালোবাসি,positive
171,এটা একদম নিখুঁত!,positive
172,তবুও আমরা যদি একে অপরের প্রতি সদয় হওয়ার চেষ্টা করি তবে এটি ভাল,positive
173,আমি যখন এখানে আসি তখন আমি মুক্ত অনুভব করি,positive
174,ভাল বলেছেন,positive
175,আমি আশা করি তারা সবাই আনন্দিত থাকবে,positive
176,"এই চরিত্রটি!! তার আনন্দময় হাসি, তার প্রেমময় হৃদয় খুব সুন্দর",positive
177,আমি his holiness Dalai Lama কে ভালবাসি এবং শ্রদ্ধা করি,positive
178,HH Dalai Lama কে আবার দেখতে পেরে খুব ভাল লাগছে,positive
179,ধন্যবাদ এই চমৎকার প্রশিক্ষণের জন্য।,positive
180,"নীরবতার চেয়ে বড়, সুন্দর এবং প্রেম-পূর্ণ আর কিছুই নেই, যার মধ্যে সবকিছু অন্তর্ভুক্ত রয়েছে।",positive
181,ভাল করেছ অয়ন আমি একমত,positive
182,কখনও কখনও আমি নিজেকে আনন্দিত করার জন্য আমার কল্পনা ব্যবহার করি,positive
183,আমাদের ভ্রমণের প্রথম বছরটি খুব ভাল হলো,positive
184,ওয়াও... প্রিয় ফুল গোলাপ!,positive
185,সুখ যেমন বাতাসে থাকে তেমনি ভালোবাসাও থাকে।,positive
186,ছেড়ে দেওয়া মানে স্বাধীনতা,positive
187,সঙ্গীত আত্মার জন্য খুবই ভালো।,positive
188,আমার এই লেখাটি ভালো লেগেছে,positive
189,এটা গভীর এবং অর্থপূর্ণ,positive
190,ধন্যবাদ এই ধরনের অনুপ্রেরণামূলক পোস্টের জন্য!,positive
191,ভালবাসা বিভিন্ন পরিস্থিতিতে কাজ করে,positive
192,এটি করা আমাকে আরও ভাল বোধ করায়,positive
193,আপনার দিন খুব ভালো কাটুক,positive
194,এটা আমাদের জন্য এত ভাল মানায় এবং সারা জীবনের জন্য উপকারী।,positive
195,প্রতিদিন আপনার চমৎকার প্রজ্ঞা এবং ইনপুট এর জন্য আপনাকে ধন্যবাদ,positive
196,হ্যাঁ সেই পুরানো দিনগুলি ভাল ছিল,positive
197,ধন্যবাদ admin আপনি সবসময় আমার মুখে হাসি ফোটান,positive
198,এটা জেনে ভালো লাগলো,positive
199,সকলকে সুপ্রভাত!শুভ সপ্তাহ,positive
200,wow এটি একটি খুব স্মার্ট জিনিস ছিল,positive



#negative
201,আপনার যখন এত কাজ থাকে তখন এটি হতাশাজনক,negative
202,আমি তো ভাল বোধ করছি না,negative
203,কেন তিনি এটা করলেন?,negative
204,আমরা এখানে এই মাছ পাই না,negative
205,একটি গান কে বিকৃত করার মধ্যে আমরা যে আনন্দ পাই বা যেভাবে তার প্রচার করি সেটা বোধহয় এই সময়ে দাঁড়িয়ে অরিজিনাল মিউজিক-এর ক্ষেত্রে আমরা ভুলে গেছি,negative
206,কেন্দ্র ও রাজ্য সরকারের স্বৈরতান্ত্রিক মনভাব সব ক্ষেত্রে প্রকাশ পাচ্ছে,negative
207,"বেঁচে থাকার স্বাধীনতা,মতামত প্রকাশের স্বাধীনতা, নিরাপত্তা সবই কেড়ে নিতে চাইছে সরকার",negative
208,আমার সবচেয়ে খারাপ ত্রুটি হল অলসতা এবং পরে আমি দোষী বোধ করি,negative
209,তুমি আমাকে ভুলে যাবে আমি ভাবতেই পারিনা,negative
210,আসলে কেউ সুখী নয়,negative
211,কতো জীবন্ত লাশ মৃত্যুর যন্ত্রণায় কাতরাচ্ছে,negative
212,আঁধারে নয় আলোতে ভয়,negative
213,আমি যখন এটি করেছিলাম তখন আমি কিছুটা দু: খিত বোধ করছিলাম,negative
214,আমি এটি ঘৃণা করি যখন আমি কোনও কারণ ছাড়াই ভয় পাই,negative
215,আমি তো ক্ষুব্ধ বোধ করছি এবং এটি দৃশ্যমান,negative
216,আমি আমার সর্বকালের প্রিয় লেখকদের মধ্যে একজনের কাছ থেকে একটি বই চুরি করেছি এবং এখন আমি একজন পচা ব্যক্তির মতো অনুভব করছি,negative
217,আমি মাঝে মাঝে নিরাপত্তাহীনতায় ভুগি কিন্তু কে না করে,negative
218,আমি তো স্কুলের শেষ দুই সপ্তাহ দু:খিত বোধ করছিলাম,negative
219,আমি বিরক্ত বোধ করছি,negative
220,আমি যখন জিমে যাই তখন আমি একটু নার্ভাস বোধ করি,negative
221,আমি যখন একা থাকি তখন আমি যে উদ্বেগ অনুভব করি তা আমি থামাতে পারি না,negative
222,আমি স্বীকার করি যে আমি এই মুহুর্তে কিছুটা অপ্রিয় বোধ করছি,negative
223,আমি আজ একটু আবেগপ্রবণ বছিলাম,negative
224,আমি তো মনে করি আমরা আমাদের ধ্বংস করেছি,negative
225,জীবন চলছে না আর সোজা পথে,negative
226,আমি দু: খিত!,negative
227,"ব্লা, ব্লা, ব্লা একই পুরানো একই পুরানো। আজ কোন প্ল্যান নেই, আবার ঘুমাতে যাবো।",negative
228,"এটি একটি ব্যাঙ্ক ছুটির দিন, তবুও আমি এখন কাজের বাইরে আছি। পরীক্ষার মৌসুম খারাপ :(",negative
229,আমার দাঁতের ডাক্তার ভুল ছিল... ভুল,negative
230,পরিবেশের অপমৃত্যু,negative
231,কিন্তু আমি ধৈর্য্য হারাতে বসেছি,negative
232,আর ভালো লাগে না এসব,negative
233,আমি দিনের পর দিন মানসিক ভাবে ভেঙে পরছি,negative
234,জীবনটা নরক হয়ে আছে,negative
235,মাঝে মাঝে মনে হয় সুইসাইড করি,negative
236,এখন প্রচুর মানসিক চাপে সে,negative
237,গত 6 মাস ধরে আমি খুব মানসিক চাপের মধ্যে আছি,negative
238,কোনো কিছু তে মন বসে না,negative
239,আমি নিজেকে আর সামলাতে পারছি নি সবাই মজা নেই,negative
240,আমার কপাল আগাগোড়া ই কখনো ভালো ছিল না,negative
241,তবুও এতটা খারাপ এটা কল্পনা ও করতে পারিনি কখনো,negative
242,এই রোগের জন্য আমি মানসিকভাবে বিপর্যস্ত,negative
243,এগুলি কিছু কিছু মানুষের বাতিক থাকে,negative
244,লোকে আমায় বোকা পাগল এসব বলে,negative
245,সেলেব্রিটিরা মানুষের কথা ভাবে না।,negative
246,চাকরি যখন চপ শিল্পে যায় তখন তো এটা হওয়াই স্বাভাবিক।,negative
247,পোস্টটা দেখে মন কেঁপে উঠলো,negative
248,নজীরবিহীন ভয়ানক অবস্থা,negative
249,লজ্জা আর কষ্ট,negative
250,কী ভয়ানক,negative
251,বড় দূর্ভাগ্য আমাদের,negative
252,কথা বলার ভাষা হারিয়ে গেছে,negative
253,আর আমাদের জীবন নিয়ে এই রকম ছিনিমিনি খেলছে,negative
254,জীবন টা ধ্বংস করে দিলো,negative
255,আমার সাথে কথা বোল্তে এসো না,negative
256,অমি তো পারবো না,negative
257,দুঃখে থাকিবে চিরকাল,negative
258,সে তার মনকে কষ্ট দিচ্ছে,negative
259,আর ভালো লাগছে না,negative
260,সে তখন কাঁদছিল,negative
261,আমি ভাল বোধ করছি না,negative
262,জীবনে সবচেয়ে কষ্টের মুহূর্ত মনে হয় এটাই,negative
263,এই লেখাটি আমাকে রাগান্বিত করে,negative
264,ভাইয়া আমার রাগ বেশি,negative
265,আমি তো আমার মনের কাছে একজন বন্দী,negative
266,শিক্ষক নিয়োগের কথা বলতেই জোর ধমক মুখ্যমন্ত্রীর,negative
267,ভাবতে ঘৃণা হয় এই নেতার জন্যই একদিন গলা ফাটিয়েছিলাম।,negative
268,মনুষ্যত্ব বলে কিছুই নেই।,negative
269,আর কতদিন কান্না করবেন,negative
270,তারা বাংলাটাকে নরকে পরিনত করে ফেলেছে,negative
271,এই পাপের কোনো ক্ষমা নেই,negative
272,এটা বেদনাদায়ক,negative
273,মৃতদেহ দেখে তার কান্নায় চোখ ভিজে গেল,negative
274,ও কান্না থামাতে পারল না,negative
275,বাংলার মানুষকে অপমান করছে বাঙালি নিজেই,negative
276,সত্যি কতই না দুঃখ পেয়েছেন,negative
277,যে কোনো মৃত্যুই দুঃখজনক বেদনাদায়ক,negative
278,দাদা যতই কষ্ট হোক সময় ফিরবে,negative
279,আমার কান্না পাচ্ছে,negative
280,একটা অযোগ্য অকর্মণ্য মানুষ,negative
281,অভিষেককে নিয়ে টেনশনে আছি,negative
282,এটা অগ্রহণযোগ্য,negative
283,পিছনে ফিরে তাকাবেন না যে দিনগুলি চলে গেছে তার জন্য,negative
284,গাঁজা সেবন করা নিউজ চ্যানেল এ নিজেদের কে পরিণত করবেন না,negative
285,আমি এখন শোকাহত,negative
286,ভবিষ্যৎ খুবই অন্ধকার।,negative
287,দয়া করে এসব পাগল ছাগলদের নিয়ে অনুষ্ঠান করা বন্ধ করুন,negative
288,আর বাংলা নিউজ চ্যানেল দেখতে ইচ্ছে করে না,negative
289,খুব খারাপ নিউজ,negative
290,অর্থনৈতিক সঙ্কট বাড়তেই থাকবে,negative
291,ফালতু খবর,negative
292,পশ্চিমবঙ্গের সাধারণ মানুষ এমনিতেই গত কয়েক বছর ধরে সমস্যার মধ্যে রয়েছে,negative
293,নতুন করে আবার নতুন সমস্যা,negative
294,গাঁজা খোর নিউজ আর মাতাল রিপোর্টার,negative
295,এটা শুনে খুব খারাপ লাগছে,negative
296,আপনার মেরুদন্ড নেই,negative
297,কপাল খারাপ,negative
298,এরাই পশ্চিমবঙ্গের কলঙ্ক,negative
299,রাজনীতির জন্য আর কতো নীচে নামবেন বিধায়ক মশায়,negative
300,একজন খারাপ অভিনেতা,negative
301,একটা বাজে লোক।,negative
302,মালটা ডাক্তার নামের কলঙ্ক,negative
303,গরীব আমরা কচু পাতা মাথায় ছাড়া উপায় নাই,negative
304,খুব অদক্ষ প্রস্তাব,negative
305,এই ফালতু কাজ ছাড়া আর কি আছে ওদের,negative
306,কোন আশা নেই,negative
307,মনটা  অশান্ত হয়ে গেল,negative
308,"কোনও লাভ নেই, খেলা যেমন চলছে তেমনি চলবে",negative
309,ভুয়া বলার যত কারসাজি ওই আইপিএল এ,negative
310,কিছু ভালো লাগে না,negative
311,আমি অসহায় বোধ করছি,negative
312,"হ্যাঁ, আপনি ফোন পেয়ে খুশি! তবুও এটা অভিশাপ",negative
313,আসল এটা একটা কেলেঙ্কারি,negative
314,আমি এটা বিশ্বাস করতে পারছি না,negative
315,আমি এটা ঘৃণা করি,negative
316,কাল রাত থেকে পিঠে ব্যাথা করছে,negative
317,এটা বিরক্তিকর,negative
318,অন্ধ বিশ্বাস খারাপ জিনিস,negative
319,আমি অন্ধ বিশ্বাসকে ঘৃণা করি,negative
320,আমরা তো হেরে গেছি,negative
321,ওরা পারল না,negative
322,আমি ব্যর্থ হলাম,negative
323,technology একটা অভিশাপ,negative
324,এই জিনিসটা আমাকে পাগল করে তুলছে,negative
325,যন্ত্রটা সম্পূর্ণ অকেজো,negative
326,আমি এটি খুঁজে বের করতে প্রায় দুই ঘন্টা ব্যয় করেছি,negative
327,এটা আমার শোনা সবচেয়ে খারাপ বক্তৃতা,negative
328,আমি ভয় পাচ্ছি,negative
329,আমি পরীক্ষায় ফেল করতে চলেছি,negative
330,GM পরিস্থিতি নিয়ে খুব বেশি খুশি নন,negative
331,দুঃখজনক যদিও,negative
332,আমি কখনই মোটর গাড়ি কিনব না,negative
333,এই জিএম সম্পর্কে যতই শুনি ততই রেগে যাই,negative
334,ওর সকল কথা বাজে কথা,negative
335,দুঃখের দিন আসছে,negative
336,পুরনো জিনিস নিয়ে মন খারাপ,negative
337,আমি জানি জীবনে খুব খারাপও হয়,negative
338,আমার ধীর গতির ইন্টারনেট সমস্যা হওয়ার জন্য সে আমার উপর বিরক্ত,negative
339,কিছু সমস্যা হচ্ছে,negative
340,এটা ওর দোষ,negative
341,আমি জানি এটা কতটা দুঃখজনক,negative
342,এটা একটি ভাল লক্ষণ নয়,negative
343,আমার ডেন্টিস্টকে ভালে লাগে না,negative
344,জায়গাটা এখন দুঃস্বপ্ন,negative
345,টাকার কী অপচয়,negative
346,internet explorer খারাপ,negative
347,আমি বিজ্ঞাপনগুলি মিস করি,negative
348,সামান্য বিষয়ে অভিযোগ আমি আর নিতে পারছি না,negative
349,ইরানে আঘাত করছে,negative
350,এসে আমাকে মেরে ফেলতে পারেন,negative
351,ইরান থেকে আসা টুইটগুলি পড়া... পুরো বিষয়টিই ভয়ঙ্কর এবং অবিশ্বাস্যভাবে দুঃখজনক,negative
352,আমি খুব উৎসাহিত বোধ করছিলাম না,negative
353,খুব রাগ করেছে,negative
354,এটা কোন মানসম্মত যুক্তি নয়,negative
355,এটা শক্তির দম্ভ,negative
356,এর জন্য অবশ্যই ফল ভোগ করতে হবে,negative
357,সঠিক ব্যাক্ষা দিতে ব্যর্থ হয়েছেন,negative
358,আমি তাকে বলেছিলাম ঝামেলায় যাওয়ার দরকার নেই,negative
359,উস্কানি দিলেই যুদ্ধ করতে নামাটা বুদ্ধিমানের কাজ নয়,negative
360,ফালতু কথা যুদ্ধ কি ছোট খাটো ব্যাপার,negative
361,দেশে দেশে দুর্নীতিগ্রস্থদের ই জয়জায়াকার,negative
362,এশিয়ান দেশগুলোর জন্য গণতন্ত্র আসলেই জংলিতন্ত্র,negative
363,সমষ্টিগতভাবে জনগণ নির্বোধ এটা সর্বজন স্বীকৃত,negative
364,মার্কোস পরবর্তী রাজনীতিকদের ব্যর্থতা এ প্রত্যাবর্তনের জন্য দায়ী,negative
365,এই পরিবারের কাউকেই কখনো রাষ্ট্রীয় ক্ষমতায় আনা ঠিক হবে না,negative
366,আনলে সেটা হবে আত্মঘাতী ফিলিপাইনের জন্য,negative
367,এরা জনগনকে শোষণ করে নিজেরা বিলাসী জীবন যাপন করে।,negative
368,কারণ চোরে চোরে মাসতুতো ভাই,negative
369,ঋণগ্রস্ত হোক আর মানষিক রোগী হোক ঘটনাটি হৃদয় বিদারক!,negative
370,খুবই হতাশাজনক,negative
371,কোন ভাবেই মেনে নিতে পারছি না।,negative
372,এই ব্যক্তি কিভাবে এই ঘটনা ঘটালো আমি বুঝতে পারলাম না,negative
373, এই ব্যক্তি কিভাবে এই ঘটনা ঘটালো আমি বুঝতে পারলাম না,negative
374,আমাদের দেশে মানুষের তুলনায় মানসিক হাসপাতাল এর সংখ্যা খুবই কম,negative
375,হত্যাকাণ্ড ঘটে গেছে এবার দেখবেন কতো কিছু খুজে বের করা হবে।,negative
376,ঘটার আগে কিন্তু কারো এবিষয়ে মাথাব্যথা ছিলোনা,negative
377,ঘটার আগে কিন্তু কারো এবিষয়ে মাথাব্যথা ছিলোনা,negative
378,অত্যন্ত ব্যথীত হয়েছি,negative
379,আর কিছু আমি ভাবতে পারছিনা,negative
380,এ কেমন বর্বরতা,negative
381,দেশ ও দেশের সমাজ যে অনারোগ্য জটিল রোগে আক্রান্ত তার উপসর্গ এগুলো,negative
382,দেশে নীরব দূর্ভিক্ষ চলছে,negative
383,"আর এদিকে দেশে পারিবারিক কলহে মৃত্যু,আর্থিক দৈন্যদশায় আত্মহত্যা বেড়েই চলেছে",negative
384,খুবই নৃশংস ঘটনার শাক্ষি হয়ে রইলাম আমরা,negative
385,দিন দিন সামাজিক পরিবেশ কেমন জানি হয়ে যাচ্ছে,negative
386,সমাজ খুব ভয়ংকর কিছু উপহার দিচ্ছে আমাদের,negative
387,এটা খুব চিন্তার বিষয়,negative
388,এই যে ধ্বংশ হয়ে গেল একটা পরিবার,negative
389,শুধু মাত্র টাকার জন্য এ জীবন গুলো চলে গেলো,negative
390,পৃথিবীর সব অশান্তির কারণ অস্ত্র ব্যবসায়ী পশ্চিমারা,negative
391,এত বিদেশি ঋণ কে পরিশোধ করবে ,negative
392,ক্ষমতার দম্ভ বেশিদিন থাকেনা,negative
393,"আপনি ব্যার্থ,অযোগ্য",negative
394,দুর্নীতি ও উন্নয়ন এক সাথে চললে দেশ ও দেশের জনগণ ধ্বংস হয়,negative
395,দেশের ১২ টা বাজিয়ে তারপর পদত্যাগ করেছে,negative
396,ভাল খবর নাই মনে হয়,negative
397,এদেরকে এ লেশন টা শেখানো উচিত,negative
398,প্রতি হিংসা ও নিজের সার্থ্য,negative
399,ওরা অহংকারী হয়ে উঠেছিল,negative
400,অত্যন্ত মর্মাহত হচ্ছি,negative

#neutral
401,গাছ বাঁচলে তবেই ফল পাবেন,neutral
402,আমি এইমাত্র বাড়ি পৌঁছালাম ,neutral
403,আমি এমনিতেই কল করছি,neutral
404,মানুষের মতামতের ভিত্তিতে সত্য কখনো পরিবর্তিত হয়না,neutral
405,মানুষের হৃদয় ভরে ওঠে আবার শূন্য হওয়ার জন্য,neutral
406,ভাবনার ল্যাম্পপোষ্ট জ্বলছে স্বপ্নের রাজপথে,neutral
407,আমার ক্যানন 40D এর জন্য একটি ভাল IR ফিল্টারের জন্য পরামর্শ প্রয়োজন ... কিছু পেয়েছেন?,neutral
